iter	Passed	Remaining
794	9538	2459
795	9550	2447
796	9561	2435
797	9572	2423
798	9583	2410
799	9594	2398
800	9604	2386
801	9615	2373
802	9626	2361
803	9637	2349
804	9649	2337
805	9661	2325
806	9673	2313
807	9685	2301
808	9698	2289
809	9710	2277
810	9722	2265
811	9734	2253
812	9746	2241
813	9758	2229
814	9770	2217
815	9782	2205
816	9794	2193
817	9806	2181
818	9817	2169
819	9829	2157
820	9841	2145
821	9853	2133
822	9865	2121
823	9877	2109
824	9889	2097
825	9901	2085
826	9913	2073
827	9925	2061
828	9938	2050
829	9951	2038
830	9964	2026
831	9977	2014
832	9990	2002
833	10003	1991
834	10015	1979
835	10029	1967
836	10042	1955
837	10054	1943
838	10067	1931
839	10078	1919
840	10089	1907
841	10100	1895
842	10111	1883
843	10122	1870
844	10133	1858
845	10144	1846
846	10155	1834
847	10166	1822
848	10178	1810
849	10191	1798
850	10203	1786
851	10215	1774
852	10227	1762
853	10239	1750
854	10251	1738
855	10263	1726
856	10276	1714
857	10288	1702
858	10301	1690
859	10313	1678
860	10325	1667
861	10338	1655
862	10349	1643
863	10361	1631
864	10373	1619
865	10385	1606
866	10397	1594
867	10409	1583
868	10421	1571
869	10433	1559
870	10446	1547
871	10458	1535
872	10470	1523
873	10482	1511
874	10494	1499
875	10506	1487
876	10518	1475
877	10530	1463
878	10542	1451
879	10556	1439
880	10568	1427
881	10580	1415
882	10591	1403
883	10603	1391
884	10614	1379
885	10625	1367
886	10636	1355
887	10647	1342
888	10658	1330
889	10671	1318
890	10682	1306
891	10693	1294
892	10705	1282
893	10717	1270
894	10729	1258
895	10741	1246
896	10754	1234
897	10766	1222
898	10777	1210
899	10790	1198
900	10803	1187
901	10815	1175
902	10829	1163
903	10841	1151
904	10854	1139
905	10867	1127
906	10879	1115
907	10891	1103
908	10904	1091
909	10916	1079
910	10928	1067
911	10940	1055
912	10952	1043
913	10964	1031
914	10977	1019
915	10990	1007
916	11003	995
917	11015	983
918	11027	971
919	11040	960
920	11052	948
921	11063	935
922	11075	923
923	11088	912
924	11100	900
925	11112	888
926	11123	875
927	11133	863
928	11145	851
929	11156	839
930	11166	827
931	11177	815
932	11189	803
933	11202	791
934	11213	779
935	11225	767
936	11237	755
937	11250	743
938	11261	731
939	11273	719
940	11285	707
941	11297	695
942	11308	683
943	11320	671
944	11332	659
945	11344	647
946	11357	635
947	11368	623
948	11380	611
949	11393	599
950	11407	587
951	11420	575
952	11433	563
953	11445	551
954	11457	539
955	11470	527
956	11481	515
957	11493	503
958	11505	491
959	11517	479
960	11530	467
961	11541	455
962	11553	443
963	11565	431
964	11577	419
965	11589	407
966	11602	395
967	11613	383
968	11624	371
969	11635	359
970	11655	348
971	11665	336
972	11676	324
973	11687	311
974	11698	299
975	11708	287
976	11720	275
977	11732	263
978	11745	251
979	11757	239
980	11770	227
981	11782	215
982	11795	203
983	11807	191
984	11819	179
985	11831	167
986	11844	156
987	11857	144
988	11869	132
989	11881	120
990	11893	108
991	11905	96
992	11917	84
993	11929	72
994	11941	60
995	11952	48
996	11965	36
997	11977	24
998	11989	12
999	12002	0
